Gebiet,Code,Jahr,Unter 5 Sterblichkeitsrate,Decade,Change
Afghanistan,AFG,1957,37.245758,1950,31.477790000000002
Africa,,1944,34.12897,1940,2.415890000000001
Albania,ALB,2018,0.9342903,2010,0.0009133300000000455
Algeria,DZA,1954,24.275417,1950,22.100142
Andorra,AND,1990,1.2880347,1990,1.0192632000000001
Angola,AGO,1980,23.985449,1980,17.29807
Antigua and Barbuda,ATG,1987,1.2786124,1980,0.0036144000000000176
Argentina,ARG,1917,20.161,1910,0.7520000000000024
Armenia,ARM,1976,8.699362,1970,7.671076300000001
Asia,,1950,24.786627,1950,11.173122
Australia,AUS,1872,18.281,1870,2.616000999999999
Austria,AUT,1807,32.526,1800,1.6270020000000045
Azerbaijan,AZE,1982,11.065675,1980,9.258886200000001
Bahamas,BHS,2019,2.3508,2010,0.9960150000000001
Bahrain,BHR,1955,30.074326,1950,29.42245676
Bangladesh,BGD,1950,34.656536,1950,31.7790202
Barbados,BRB,1908,51.805,1900,2.761000000000003
Belarus,BLR,1959,5.00606,1950,4.7486381
Belgium,BEL,1836,28.107,1830,0.9450009999999978
Belize,BLZ,1967,11.079725,1960,9.9851217
Benin,BEN,1950,35.138382,1950,27.060817999999998
Bhutan,BTN,1968,27.466595,1960,25.0952078
Bolivia,BOL,1960,29.097523,1960,26.7064274
Bosnia and Herzegovina,BIH,2016,0.63571894,2010,0.0004591899999999427
Botswana,BWA,1954,20.198315,1950,16.3248156
Brazil,BRA,2016,1.6688896,2010,0.07794879999999993
British Virgin Islands,VGB,2011,1.5632029,2010,0.0012575000000001335
Brunei,BRN,2015,0.99236506,2010,0.0022899600000000353
Bulgaria,BGR,1949,14.994448,1940,14.3845972
Burkina Faso,BFA,1950,38.112286,1950,30.234145599999998
Burundi,BDI,1964,24.041523,1960,18.992211400000002
Cambodia,KHM,1978,28.694698,1970,26.325042399999997
Cameroon,CMR,1953,35.23326,1950,28.249845
Canada,CAN,1906,20.535,1900,3.752998999999999
Cape Verde,CPV,1969,13.795323,1960,12.5666393
Central African Republic,CAF,1959,28.405996,1950,18.727809
Central Asia (SDG),,1991,7.070094,1990,0.026481999999999672
Chad,TCD,1972,25.325672,1970,15.040043
Chile,CHL,1904,46.446,1900,3.5730000000000004
China,CHN,1959,26.845001,1950,3.513000999999999
Colombia,COL,1926,23.882,1920,4.849
Comoros,COM,1970,23.269754,1970,18.452969
Congo,COG,2019,5.2443886,2010,0.4659909999999998
Cook Islands,COK,1951,19.43752,1950,18.7434853
Costa Rica,CRI,1965,9.014544,1960,8.2397025
Cote d'Ivoire,CIV,1955,36.150578,1950,29.2132153
Croatia,HRV,1981,2.2052283,1980,1.7454644
Cuba,CUB,1933,20.91,1930,3.567001000000001
Cyprus,CYP,1971,3.8003583,1970,0.20335820000000027
Czechia,CZE,2015,0.31737405,2010,0.00315890000000002
Democratic Republic of Congo,COD,1969,25.250074,1960,17.695073700000002
Denmark,DNK,1839,26.710999,1830,2.6849990000000012
Djibouti,DJI,1976,17.15345,1970,11.964771299999999
Dominica,DMA,2015,2.712674,2010,0.08389479999999994
Dominican Republic,DOM,2015,3.5062594,2010,0.005131699999999739
East Timor,TLS,1985,22.208523,1980,17.350836
Eastern Asia and South-Eastern Asia (SDG),,2020,1.4830774,2020,0.0059947000000000195
Ecuador,ECU,1955,20.774988,1950,19.5598441
Egypt,EGY,1955,36.600502,1950,34.7930409
El Salvador,SLV,1955,20.708666,1950,19.5213241
Equatorial Guinea,GNQ,1982,20.11162,1980,12.769452999999999
Eritrea,ERI,1974,21.715618,1970,18.0542685
Estonia,EST,1960,4.506,1960,0.017000000000000348
Eswatini,SWZ,2017,6.210533,2010,0.14566069999999964
