Gebiet,Code,Jahr,Unter 5 Sterblichkeitsrate,Decade,Change
Afghanistan,AFG,1957,37.245758,1950,31.477790000000002
Africa,,1944,34.12897,1940,2.415890000000001
Africa,,1955,28.881872,1950,2.172968000000001
Africa,,1963,25.540987,1960,0.15288900000000183
Africa,,1964,26.660784,1960,1.1197969999999984
Albania,ALB,2018,0.9342903,2010,0.0009133300000000455
Albania,ALB,2019,0.93854076,2010,0.004250459999999956
Albania,ALB,2020,0.94281656,2020,0.004275800000000052
Albania,ALB,2021,0.9457399,2020,0.002923339999999941
Albania,ALB,1978,9.649826,1970,8.706023759999999
Algeria,DZA,1954,24.275417,1950,22.100142
Algeria,DZA,1961,23.993708,1960,0.03495800000000315
Algeria,DZA,1962,24.047398,1960,0.05368999999999957
Algeria,DZA,1963,24.126242,1960,0.07884400000000014
Algeria,DZA,1964,24.241276,1960,0.11503399999999786
Algeria,DZA,1965,24.345615,1960,0.10433899999999952
Algeria,DZA,1966,24.422707,1960,0.07709200000000038
Algeria,DZA,1967,24.445204,1960,0.02249700000000132
Andorra,AND,1990,1.2880347,1990,1.0192632000000001
Angola,AGO,1980,23.985449,1980,17.29807
Antigua and Barbuda,ATG,1987,1.2786124,1980,0.0036144000000000176
Antigua and Barbuda,ATG,1988,1.2927047,1980,0.014092299999999947
Antigua and Barbuda,ATG,1989,1.3169789,1980,0.024274200000000024
Antigua and Barbuda,ATG,1990,1.3487004,1990,0.39827066
Antigua and Barbuda,ATG,1991,1.3862901,1990,0.03758970000000006
Antigua and Barbuda,ATG,1992,1.4268261,1990,0.040535999999999905
Antigua and Barbuda,ATG,1993,1.4681957,1990,0.04136960000000012
Antigua and Barbuda,ATG,1994,1.5050962,1990,0.0369005
Antigua and Barbuda,ATG,1995,1.5346383,1990,0.029542099999999794
Antigua and Barbuda,ATG,1996,1.5503933,1990,0.015755000000000186
Antigua and Barbuda,ATG,1997,1.5528519,1990,0.0024585999999999775
Argentina,ARG,1917,20.161,1910,0.7520000000000024
Argentina,ARG,1918,22.033,1910,1.8719999999999999
Argentina,ARG,1924,17.905,1920,0.75
Argentina,ARG,1925,18.845,1920,0.9399999999999977
Argentina,ARG,1927,19.785,1920,1.315999999999999
Argentina,ARG,1934,14.379,1930,1.7899999999999991
Argentina,ARG,1935,16.036999,1930,1.657999000000002
Argentina,ARG,1938,15.4800005,1930,1.4639995
Argentina,ARG,1942,12.413,1940,0.17600000000000016
Argentina,ARG,1944,11.543,1940,0.17199999999999882
Argentina,ARG,1945,11.716001,1940,0.17300100000000107
Argentina,ARG,1947,11.029,1940,0.6760000000000002
Argentina,ARG,1950,9.36,1950,0.16100099999999884
Argentina,ARG,1955,8.424,1950,0.3019999999999996
Argentina,ARG,1957,9.36,1950,1.7029999999999994
Argentina,ARG,1966,5.87,1960,0.1200000000000001
Argentina,ARG,1969,7.24851,1960,6.3049861
Armenia,ARM,1976,8.699362,1970,7.671076300000001
Armenia,ARM,1988,9.916895,1980,4.3835812
Asia,,1950,24.786627,1950,11.173122
Asia,,1953,24.226242,1950,1.6391220000000004
Australia,AUS,1872,18.281,1870,2.616000999999999
Australia,AUS,1874,19.597,1870,2.067
Australia,AUS,1875,22.22,1870,2.6229999999999976
Australia,AUS,1877,19.973,1870,1.5039999999999978
Australia,AUS,1878,20.723,1870,0.75
Australia,AUS,1880,18.092999,1880,0.375
Australia,AUS,1882,21.472,1880,3.567
Australia,AUS,1884,19.597,1880,0.7520000000000024
Australia,AUS,1885,20.161,1880,0.5640000000000001
Australia,AUS,1889,20.91,1880,3.004999999999999
Australia,AUS,1891,17.717999,1890,1.4959989999999976
Australia,AUS,1893,17.905,1890,1.8680009999999996
