Gebiet,Code,Jahr,Unter 5 Sterblichkeitsrate,Decade,Change
Argentina,ARG,1916,19.409,1910,0.0
Argentina,ARG,1923,17.155,1920,0.0
Argentina,ARG,1931,14.927,1930,0.0
Argentina,ARG,1940,13.119,1940,0.0
Argentina,ARG,1965,5.75,1960,0.0
Australia,AUS,1888,17.905,1880,0.0
Australia,AUS,1905,11.716001,1900,0.0
Australia,AUS,1913,10.018,1910,0.0
Australia,AUS,1920,9.524,1920,0.0
Austria,AUT,1852,39.318,1850,0.0
Austria,AUT,1881,40.611,1880,0.0
Austria,AUT,1922,25.324001,1920,0.0
Cuba,CUB,1953,4.8259997,1950,0.0
Germany,DEU,1844,46.607998,1840,0.0
Germany,DEU,1890,36.732002,1890,0.0
Greece,GRC,1933,19.221,1930,0.0
Guinea-Bissau,GNB,1957,28.710001,1950,0.0
Guyana,GUY,1930,23.516,1930,0.0
Guyana,GUY,1932,22.22,1930,0.0
India,IND,1916,32.851,1910,0.0
India,IND,1937,26.354,1930,0.0
Ireland,IRL,1865,14.56,1860,0.0
Ireland,IRL,1891,14.016001,1890,0.0
Ireland,IRL,1894,15.295,1890,0.0
Ireland,IRL,1940,9.04,1940,0.0
Israel,ISR,1945,4.5490003,1940,0.0
Jamaica,JAM,1916,28.602,1910,0.0
Mauritius,MUS,1926,20.161,1920,0.0
New Zealand,NZL,1890,11.2,1890,0.0
New Zealand,NZL,1915,6.7300005,1910,0.0
New Zealand,NZL,1916,6.7300005,1910,0.0
New Zealand,NZL,1918,6.278,1910,0.0
New Zealand,NZL,1926,5.687,1920,0.0
New Zealand,NZL,1933,4.8259997,1930,0.0
New Zealand,NZL,1936,5.253,1930,0.0
New Zealand,NZL,1944,4.967,1940,0.0
Norway,NOR,1838,21.472,1830,0.0
Portugal,PRT,1915,23.882,1910,0.0
Romania,ROU,1923,33.663002,1920,0.0
Russia,RUS,1874,42.548,1870,0.0
Serbia,SRB,1897,27.161999,1890,0.0
Serbia,SRB,1903,24.431,1900,0.0
Somalia,SOM,1996,17.188137,1990,0.0
Somalia,SOM,1997,17.188137,1990,0.0
Somalia,SOM,1998,17.188137,1990,0.0
Somalia,SOM,1999,17.188137,1990,0.0
Somalia,SOM,2000,17.188137,2000,0.0
Somalia,SOM,2001,17.188137,2000,0.0
Somalia,SOM,2002,17.188137,2000,0.0
Somalia,SOM,2003,17.188137,2000,0.0
Somalia,SOM,2004,17.188137,2000,0.0
South Sudan,SSD,2016,9.87726,2010,0.0
South Sudan,SSD,2017,9.87726,2010,0.0
South Sudan,SSD,2018,9.87726,2010,0.0
South Sudan,SSD,2019,9.87726,2010,0.0
South Sudan,SSD,2020,9.87726,2020,0.0
South Sudan,SSD,2021,9.87726,2020,0.0
South Sudan,SSD,2022,9.87726,2020,0.0
Venezuela,VEN,2019,2.4213321,2010,0.0
Venezuela,VEN,2020,2.4213321,2020,0.0
Venezuela,VEN,2021,2.4213321,2020,0.0
Venezuela,VEN,2022,2.4213321,2020,0.0
